product_name,sugars_100g,proteins_100g,categories_tags,ingredients_text,primary_category
Soupe carottes potiron,1.7,1.3,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:meals,en:soups,en:vegetable-soups","Ingrediënten: water, wortel 15%, aardappel, tomatenpuree op basis van concentraat, soepballetjes 5,0% (varkens - en rundsvlees,",Beverages
Chicken soup,0.200000002980232,1.20000004768372,,,Other
Velouté de potiron,2.59999990463257,0.699999988079071,,,Other
Velouté aux 8 Légumes,1.79999995231628,0.600000023841858,,,Other
Suprême de tomates,2.5,0.800000011920929,,,Other
Carmel protein,13.0,73.0,,,Other
Wermuttee,0.0,0.0,,,Other
Formula 1,36.0,36.0,en:food,,Other
Clear Whey Isolate Apple,2.29999995231628,83.0,,,Other
Baguette parisien,1.8,11.7,,,Other
Knusper honigmüsli,17.7000007629395,9.5,,,Other
Snacks de mais,0.0,0.0,,,Other
&quot;Baguette Lyonnais&quot;,2.0,12.5,,,Other
"Lieu, riz à la crème de coco et épinards",0.83,6.0,,,Other
Laugengipfrl,1.6,4.8,,,Other
Formula 1 healthy meal,13.0,40.0,"en:beverages-and-beverages-preparations,en:beverages,en:dairies,en:canned-foods,en:meals,en:dairy-drinks,en:flavoured-milks,en:dietary-supplements,en:milkshakes","Soya protein isolate (40 %), fructose, emulsifier (soya lecithin), polydextrose, oat fiber, inulin, coffee powder, soya oil, thickeners (guar gum, carrageenan, xanthan gum, pectin), oat bran, flavourings, cocoa powder, milk protein concentrate, anti-caking agent (silicon dioxide), dextrose, calcium citrate, colour (ammonia caramel), calcium phosphate, sodium chloride, rapeseed oil, sweetener (acesulfame K), L-ascorbic acid, honey powder, DL-alpha-tocopheryl acetate, ferrous fumarate, magnesium oxide, nicotinamide, parsley powder (0.02 %), papaya powder (0.02 %) , zinc oxide, cupric gluconate, retinyl palmitate, calcium D-pantothenate, cholecalciferol, antioxidants (L-ascorbyl palmitate, DL-alpha-tocopherol), manganese carbonate, pyridoxine hydrochloride, cyanocobalamin, riboflavin, thiamin hydrochloride, pteroylmonoglutamic acid, potassium iodide, sodium selenite, D-biotin. Allergy advice: for allergens, including cereals containing gluten, see ingredients in bold.",Beverages
Il pane del forno,12.0,9.3,,,Other
Piadina Kamut,1.70000004768372,8.60000038146973,,,Other
Solène céréales poulet,1.7,9.7,,"antioxydant : érythorbate de sodium, colorant : caramel - origine UE), tomate 33,3%, MAYONNAISE 11,1% (huile de colza 78,9%, eau, jaunes d'OEUF 6%, vinaigre, MOUTARDE [eau, graines de MOUTARDE, sel, vinaigre, curcuma], sel, dextrose, stabilisateur : gomme de cellulose, conservateur : sorbate de potassium, colorant : ?-carotène, arôme)",Other
Hackfleisch,0.2,0.2,,,Other
Pringles,3.57142857142857,3.57142857142857,,,Other
Kombucha,0.81,0.1,"en:beverages,en:fermented-foods,en:fermented-drinks,en:tea-based-beverages,en:kombuchas",,Beverages
8 mini beignets fourrés au chocolat noisette,19.0,6.8,"en:snacks,en:sweet-snacks,en:sweet-fritters,fr:beignets-au-chocolat",,Snacks
Firecracker Chicken Noodles & Crunchy Veg,2.8,12.0,,,Other
Csirke mellfilé,0.100000001490116,22.7999992370605,,,Other
Änglamark Baguette 400g,1.2,17.0,,"Hvetemel, vann, gjær, havsalt, hvetegluten, durumhvetemel.",Other
One piece,0.0,23.0,,,Other
